Month,Industries_luok,Information,value
2012M11,Trade,"Bankruptcies instigated, number of enterprises",52
2012M11,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2012M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21
2012M11,Other service activities,"Bankruptcies instigated, number of enterprises",81
2012M11,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2012M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2012M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",14
2012M12,Construction,"Bankruptcies instigated, number of enterprises",41
2012M12,Trade,"Bankruptcies instigated, number of enterprises",37
2012M12,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2012M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",7
2012M12,Other service activities,"Bankruptcies instigated, number of enterprises",46
2012M12,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2013M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2013M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",30
2013M01,Construction,"Bankruptcies instigated, number of enterprises",67
2013M01,Trade,"Bankruptcies instigated, number of enterprises",51
2013M01,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2013M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",19
2013M01,Other service activities,"Bankruptcies instigated, number of enterprises",93
2013M01,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2013M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2013M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",32
2013M02,Construction,"Bankruptcies instigated, number of enterprises",56
2013M02,Trade,"Bankruptcies instigated, number of enterprises",45
2013M02,Transport and storage,"Bankruptcies instigated, number of enterprises",18
2013M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",22
2013M02,Other service activities,"Bankruptcies instigated, number of enterprises",75
2013M02,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2013M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2013M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",37
2013M03,Construction,"Bankruptcies instigated, number of enterprises",70
2013M03,Trade,"Bankruptcies instigated, number of enterprises",42
2013M03,Transport and storage,"Bankruptcies instigated, number of enterprises",24
2013M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2013M03,Other service activities,"Bankruptcies instigated, number of enterprises",81
2013M03,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2013M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2013M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",28
2013M04,Construction,"Bankruptcies instigated, number of enterprises",71
2013M04,Trade,"Bankruptcies instigated, number of enterprises",55
2013M04,Transport and storage,"Bankruptcies instigated, number of enterprises",33
2013M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",24
2013M04,Other service activities,"Bankruptcies instigated, number of enterprises",72
2013M04,Industry unknown,"Bankruptcies instigated, number of enterprises",6
2013M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2013M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",32
2013M05,Construction,"Bankruptcies instigated, number of enterprises",58
2013M05,Trade,"Bankruptcies instigated, number of enterprises",56
2013M05,Transport and storage,"Bankruptcies instigated, number of enterprises",28
2013M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",19
2013M05,Other service activities,"Bankruptcies instigated, number of enterprises",79
2013M05,Industry unknown,"Bankruptcies instigated, number of enterprises",8
2013M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2013M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2013M06,Construction,"Bankruptcies instigated, number of enterprises",63
2013M06,Trade,"Bankruptcies instigated, number of enterprises",47
2013M06,Transport and storage,"Bankruptcies instigated, number of enterprises",23
2013M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",19
2013M06,Other service activities,"Bankruptcies instigated, number of enterprises",52
2013M06,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2013M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",9
2013M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",27
2013M07,Construction,"Bankruptcies instigated, number of enterprises",56
2013M07,Trade,"Bankruptcies instigated, number of enterprises",34
2013M07,Transport and storage,"Bankruptcies instigated, number of enterprises",13
2013M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2013M07,Other service activities,"Bankruptcies instigated, number of enterprises",59
2013M07,Industry unknown,"Bankruptcies instigated, number of enterprises",2
2013M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",9
2013M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",27
2013M08,Construction,"Bankruptcies instigated, number of enterprises",66
2013M08,Trade,"Bankruptcies instigated, number of enterprises",53
2013M08,Transport and storage,"Bankruptcies instigated, number of enterprises",22
2013M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2013M08,Other service activities,"Bankruptcies instigated, number of enterprises",93
2013M08,Industry unknown,"Bankruptcies instigated, number of enterprises",7
2013M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",9
2013M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",30
2013M09,Construction,"Bankruptcies instigated, number of enterprises",56
2013M09,Trade,"Bankruptcies instigated, number of enterprises",53
2013M09,Transport and storage,"Bankruptcies instigated, number of enterprises",25
2013M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",25
2013M09,Other service activities,"Bankruptcies instigated, number of enterprises",74
2013M09,Industry unknown,"Bankruptcies instigated, number of enterprises",4
2013M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2013M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",29
2013M10,Construction,"Bankruptcies instigated, number of enterprises",54
2013M10,Trade,"Bankruptcies instigated, number of enterprises",62
2013M10,Transport and storage,"Bankruptcies instigated, number of enterprises",19
2013M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2013M10,Other service activities,"Bankruptcies instigated, number of enterprises",83
2013M10,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2013M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",13
2013M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",32
2013M11,Construction,"Bankruptcies instigated, number of enterprises",43
2013M11,Trade,"Bankruptcies instigated, number of enterprises",41
2013M11,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2013M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",28
2013M11,Other service activities,"Bankruptcies instigated, number of enterprises",55
2013M11,Industry unknown,"Bankruptcies instigated, number of enterprises",3
2013M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2013M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",21
2013M12,Construction,"Bankruptcies instigated, number of enterprises",45
2013M12,Trade,"Bankruptcies instigated, number of enterprises",38
2013M12,Transport and storage,"Bankruptcies instigated, number of enterprises",14
2013M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2013M12,Other service activities,"Bankruptcies instigated, number of enterprises",57
2013M12,Industry unknown,"Bankruptcies instigated, number of enterprises",0
2014M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2014M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",45
2014M01,Construction,"Bankruptcies instigated, number of enterprises",66
2014M01,Trade,"Bankruptcies instigated, number of enterprises",68
2014M01,Transport and storage,"Bankruptcies instigated, number of enterprises",30
2014M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2014M01,Other service activities,"Bankruptcies instigated, number of enterprises",78
2014M01,Industry unknown,"Bankruptcies instigated, number of enterprises",5
2014M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",5
2014M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",24
2014M02,Construction,"Bankruptcies instigated, number of enterprises",51
2014M02,Trade,"Bankruptcies instigated, number of enterprises",51
2014M02,Transport and storage,"Bankruptcies instigated, number of enterprises",26
2014M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",19
2014M02,Other service activities,"Bankruptcies instigated, number of enterprises",73
2014M02,Industry unknown,"Bankruptcies instigated, number of enterprises",1
2014M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2014M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",42
2014M03,Construction,"Bankruptcies instigated, number of enterprises",73
2014M03,Trade,"Bankruptcies instigated, number of enterprises",76
2014M03,Transport and storage,"Bankruptcies instigated, number of enterprises",28
2014M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",32
2014M03,Other service activities,"Bankruptcies instigated, number of enterprises",86
2014M03,Industry unknown,"Bankruptcies instigated, number of enterprises",4
